FID,Field1,FID_,Inspection,License__,Risk,Zip,Latitude,Longitude,Pass,Violation,exp,Type,year_built,str_name,d_rodent,d_14crime,d_14san_co,d_14en_com,count_insp,PassProb,FailProb,FailRank,FID_1,Inspection_1,DBA_Name,AKA_Name,License__1,Facility_T,Address,City,State,Zip_1,Latitude_1,Longitude_1,Violation_1,Risk1,Type_1,Pass1,d_13fail,d_cri14,d_sancom14
2376,4669,4668,1439472,2065265,Risk 1 (High),60611,41.894776239999999,-87.627476990000005,0,1,0,Canvass Re-Inspection,1988,HURON,329.542100000000000,480.112500000000010,589.947800000000030,1871.186500000000000,2,63.44%,36.56%,2377,5202,1439472,IKRAM,IKRAM,2065265,Restaurant,15 E HURON ST,CHICAGO,IL,60611,41.894776241199999,-87.627476990199995,1,1,Canvass Re-Inspection,1,540.159300000000030,480.112300000000000,311.079900000000010
2377,6502,6501,1501482,2283297,Risk 1 (High),60647,41.924785630000002,-87.710825299999996,1,1,0,Canvass,1915,FULLERTON,844.227899999999980,306.177700000000020,379.087499999999980,1758.339899999999900,2,63.44%,36.56%,2378,1847,1501482,EL HABANERO INC.,EL HABANERO,2283297,Restaurant,3300 W FULLERTON AVE,CHICAGO,IL,60647,41.924785634899997,-87.710825300300002,1,1,Canvass,1,905.259400000000030,306.178200000000000,379.087600000000010
2378,3044,3043,1502016,1740590,Risk 1 (High),60609,41.809010960000002,-87.643363850000000,1,1,1,Canvass,1879,47TH,264.368699999999990,529.470800000000050,460.319000000000020,2245.179700000000100,2,63.45%,36.55%,2379,1267,1502016,S'  PAISANS PIZZA & GRILL,S'  PAISANS PIZZA & GRILL,1740590,Restaurant,704 W 47TH ST,CHICAGO,IL,60609,41.809010961799999,-87.643363853799997,1,1,Canvass,1,4223.890099999999600,529.471099999999980,460.319399999999970
2379,2074,2073,1501537,1332012,Risk 1 (High),60609,41.801563479999999,-87.654916740000004,1,1,1,Canvass,1902,W,798.577199999999950,267.236200000000000,256.173499999999990,1490.200300000000000,2,63.45%,36.55%,2380,1731,1501537,JOE'S BREAKFAST AND GRILL,JOE'S BREAKFAST AND GRILL,1332012,Restaurant,1156 1/2 W 51ST ST,CHICAGO,IL,60609,41.801563482100001,-87.654916740299996,1,1,Canvass,1,3723.425699999999800,267.236200000000000,256.173900000000000
2380,3525,3524,1494114,1883618,Risk 1 (High),60653,41.824042749999997,-87.622946549999995,1,1,0,Complaint,2008,MICHIGAN,413.238999999999980,1003.310400000000000,597.701000000000020,2176.988800000000100,2,63.45%,36.55%,2381,4528,1494114,FOOD XPRESS,CHICAGO RIB HOUSE,1883618,Restaurant,3851 S MICHIGAN AVE,CHICAGO,IL,60653,41.824042753800001,-87.622946551900000,1,1,Complaint,1,708.435500000000050,1003.310400000000000,238.854199999999990
2381,373,372,1512338,15632,Risk 1 (High),60654,41.894698089999999,-87.632820830000000,1,1,0,Canvass,1974,LA,320.355799999999990,582.255700000000050,415.507099999999980,1876.433299999999900,2,63.45%,36.55%,2382,887,1512338,BLUE FROG,BLUE FROG,15632,Restaurant,676 N LA SALLE DR,CHICAGO,IL,60654,41.894698094299997,-87.632820830699998,1,1,Canvass,1,679.893800000000060,582.255499999999980,415.506500000000020
2382,7309,7308,1460181,2333061,Risk 1 (High),60625,41.968560560000000,-87.708536370000004,0,1,0,License Re-Inspection,1921,LAWRENCE,268.885499999999980,738.971999999999980,502.839200000000010,1347.089700000000000,2,63.45%,36.55%,2383,8192,1460181,K & L CORNER,K & L CORNER,2333061,Restaurant,3200 W LAWRENCE AVE,CHICAGO,IL,60625,41.968560560599997,-87.708536374500000,1,1,License Re-Inspection,1,711.051600000000010,738.972399999999990,517.449799999999980
2383,4426,4425,1490746,2027342,Risk 1 (High),60609,41.808576600000002,-87.658765360000004,1,1,1,Complaint,1889,47TH,115.257300000000000,525.861599999999950,167.710700000000000,1488.767499999999900,2,63.46%,36.54%,2384,6241,1490746,OCHOA'S,OCHOA'S,2027342,Restaurant,1323 W 47TH ST,CHICAGO,IL,60609,41.808576602400002,-87.658765355300005,1,1,Complaint,1,1886.816800000000100,525.863000000000060,298.452600000000020
2384,6302,6301,1447416,2262774,Risk 1 (High),60661,41.884187509999997,-87.641119669999995,1,1,0,Complaint,2000,CLINTON,604.535700000000020,799.347800000000010,698.989600000000000,1672.906099999999900,2,63.46%,36.54%,2385,5238,1447416,LITTLE GOAT FRENCH MARKET,,2262774,Restaurant,131 N CLINTON ST,CHICAGO,IL,60661,41.884187507100002,-87.641119666799995,1,1,Complaint,1,670.398299999999950,799.348200000000020,275.819300000000000
2385,4275,4274,1199663,2004459,Risk 1 (High),60661,41.884187509999997,-87.641119669999995,1,1,0,Canvass,2000,CLINTON,600.140499999999970,799.347800000000010,698.989600000000000,1672.906099999999900,2,63.46%,36.54%,2386,312,1199663,FRIETKOTEN,FRIETKOTEN,2004459,Restaurant,131 N CLINTON BLDG BOOTH26,CHICAGO,IL,60661,41.884187507100002,-87.641119666799995,1,1,Canvass,1,670.398299999999950,799.348200000000020,698.990000000000010
2386,6519,6518,1199646,2283644,Risk 1 (High),60661,41.884187509999997,-87.641119669999995,1,1,0,Canvass,2000,CLINTON,484.962499999999980,799.347800000000010,698.989600000000000,1672.906099999999900,2,63.47%,36.53%,2387,598,1199646,DA LOBSTA,,2283644,Restaurant,131 N CLINTON ST,CHICAGO,IL,60661,41.884187507100002,-87.641119666799995,1,1,Canvass,1,670.398299999999950,799.348200000000020,698.990000000000010
2387,3133,3132,1107045,1770713,Risk 1 (High),60640,41.965308620000002,-87.655949590000006,0,1,0,Canvass Re-Inspection,1906,WILSON,429.308499999999980,597.738299999999980,194.705500000000000,2033.763899999999900,2,63.47%,36.53%,2388,12352,1107045,OSAS AFRICAN RESTAURANT & CATERING SERVICES,OSAS AFRICAN RESTAURANT & CATERING SERVICES,1770713,Restaurant,1027 W WILSON AVE,CHICAGO,IL,60640,41.965308615100000,-87.655949593599999,1,1,Canvass Re-Inspection,1,582.039700000000040,597.738899999999940,20207.507300000001000
2388,7673,7672,1199567,2358971,Risk 1 (High),60661,41.884187509999997,-87.641119669999995,0,1,0,License Re-Inspection,2000,CLINTON,386.188100000000020,799.347800000000010,698.989600000000000,1672.906099999999900,2,63.49%,36.51%,2389,2347,1199567,THE ORIGINAL MEATBALL VAULT,,2358971,Restaurant,131 N CLINTON ST,CHICAGO,IL,60661,41.884187507100002,-87.641119666799995,1,1,License Re-Inspection,1,670.398299999999950,799.348200000000020,382.744000000000030
2389,3388,3387,1496963,1846828,Risk 1 (High),60616,41.853304510000001,-87.634176879999998,0,1,0,Canvass Re-Inspection,1998,ARCHER,376.371399999999990,259.642000000000000,469.636599999999990,1863.921900000000100,2,63.49%,36.51%,2390,3477,1496963,"CHI CAFE, LLC","CHI CAFE, LLC",1846828,Restaurant,2160 S ARCHER AVE,CHICAGO,IL,60616,41.853304512100003,-87.634176883400002,1,1,Canvass Re-Inspection,1,76.532200000000003,259.642200000000000,530.961199999999960
2390,1088,1087,1441288,42885,Risk 1 (High),60657,41.944451559999997,-87.663298380000001,0,1,0,Canvass Re-Inspection,1908,NEWPORT,266.316500000000020,317.417300000000010,331.212499999999980,2277.489900000000000,2,63.50%,36.50%,2391,6789,1441288,NEWPORT BAR & GRILLE,NEWPORT BAR & GRILLE,42885,Restaurant,1344 W NEWPORT AVE,CHICAGO,IL,60657,41.944451564700003,-87.663298376699998,1,1,Canvass Re-Inspection,1,133.410400000000010,317.417300000000010,382.742399999999980
2391,4282,4281,1199506,2008126,Risk 1 (High),60661,41.884187509999997,-87.641119669999995,0,1,0,Canvass Re-Inspection,2000,Clinton,240.535599999999990,799.347800000000010,698.989600000000000,1672.906099999999900,2,63.50%,36.50%,2392,3787,1199506,CAFE DU MARCHE,LE CAFE DU MARCHE,2008126,Restaurant,131 N Clinton ST,CHICAGO,IL,60661,41.884187507100002,-87.641119666799995,1,1,Canvass Re-Inspection,1,670.398299999999950,799.348200000000020,448.056300000000020
2392,4278,4277,1199660,2004626,Risk 1 (High),60661,41.884187509999997,-87.641119669999995,1,1,0,Canvass,2000,Clinton,193.401000000000010,799.347800000000010,698.989600000000000,1672.906099999999900,2,63.51%,36.49%,2393,270,1199660,BUEN APETITO,BUEN APETITO,2004626,Restaurant,131 N Clinton ST,CHICAGO,IL,60661,41.884187507100002,-87.641119666799995,1,1,Canvass,1,670.398299999999950,799.348200000000020,698.990000000000010
2393,4213,4212,1199476,1997766,Risk 2 (Medium),60661,41.884187509999997,-87.641119669999995,1,1,0,Canvass Re-Inspection,2000,CLINTON,148.991999999999990,799.347800000000010,698.989600000000000,1672.906099999999900,2,63.51%,36.49%,2394,4752,1199476,RAW,RAW,1997766,Restaurant,131 N CLINTON ST,CHICAGO,IL,60661,41.884187507100002,-87.641119666799995,1,1,Canvass Re-Inspection,1,670.398299999999950,799.348200000000020,565.237100000000050
2394,6163,6162,1512609,2247017,Risk 1 (High),60607,41.883171830000002,-87.652133100000000,1,1,0,Canvass,2008,WASHINGTON,235.125200000000010,497.024900000000000,609.451900000000020,1293.611699999999900,2,63.52%,36.48%,2395,672,1512609,CHI-TOWN,CHI-TOWN,2247017,Restaurant,1000 W WASHINGTON BLVD,CHICAGO,IL,60607,41.883171834800002,-87.652133100399993,1,1,Canvass,1,315.852899999999980,497.025699999999970,609.452400000000010
