FID,Inspection,DBA_Name,AKA_Name,License__,Facility_T,Address,City,State,Zip,Latitude,Longitude,Violation,Risk1,Type,Pass1,d_13fail,d_cri14,d_sancom14
7549,1473686,THE LAGUNITAS BREWING COMPANY,LAGUNITAS BREWING COMPANY,2327004,Restaurant,1843 S WASHTENAW AVE,CHICAGO,IL,60608,41.856210521500003,-87.692985032199999,1,0,License,1,2163.517800000000100,740.005599999999960,721.763900000000040
7550,1473687,THE LAGUNITAS BREWING COMPANY,LAGUNITAS BREWING COMPANY,2327007,Restaurant,1843 S WASHTENAW AVE,CHICAGO,IL,60608,41.856210521500003,-87.692985032199999,1,0,License,1,2163.517800000000100,740.005599999999960,484.788599999999970
7551,1471326,"MR BEEF ON HARLEM, LTD",MR BEEF ON HARLEM,385,Restaurant,3917 N HARLEM AVE,CHICAGO,IL,60634,41.951274669400000,-87.807066382100004,1,1,Canvass,1,2394.249100000000000,757.512700000000000,388.824200000000020
7552,1467332,BELLY Q/URBAN BELLY,BELLY Q/URBAN BELLY,1045301,Restaurant,1400 W RANDOLPH ST,CHICAGO,IL,60607,41.884274448900001,-87.662433025699997,1,1,Canvass Re-Inspection,1,1193.452399999999900,868.113299999999980,614.728799999999980
7553,1199390,"MISS ASIA, LLC","MISS ASIA, LLC",1888944,Restaurant,434 W DIVERSEY PKWY,CHICAGO,IL,60614,41.932993204600002,-87.640716173599998,1,1,Canvass Re-Inspection,0,93.915499999999994,635.169899999999980,378.298600000000020
7554,1473688,FOUNTAIN HEAD,FOUNTAIN HEAD,1997874,Restaurant,1968-1970 W MONTROSE AVE,CHICAGO,IL,60613,41.961570370799997,-87.678800221000003,1,1,Canvass Re-Inspection,1,959.169800000000010,358.051600000000010,523.463399999999980
7555,1473690,IRVING SACRAMENTO,LEADER BAR,2021350,Restaurant,3000-3004 W Irving Park RD,CHICAGO,IL,60618,41.954059261499999,-87.703190855800003,1,1,Canvass,1,975.942400000000020,613.541000000000050,419.214000000000000
7556,1473691,FRONTERA GRILL/TOPLOBAMPO,FRONTERA GRILL,2278794,Restaurant,443 - 447 N CLARK ST,CHICAGO,IL,60610,41.890497299800003,-87.630949205199997,1,1,Canvass,1,169.480799999999990,311.041400000000010,452.477500000000020
7557,1473692,SOBRE EL FUEGO,SOBRE EL FUEGO,2284248,Restaurant,3141 W 63RD ST,CHICAGO,IL,60629,41.778874221599999,-87.702313555000003,1,1,Canvass,1,718.020499999999970,198.722199999999990,185.724200000000000
7558,1473693,DUELIRE VINO & CUCINA,DUELIRE VINO & CUCINA,2049374,Restaurant,4520 N LINCOLN AVE,CHICAGO,IL,60625,41.963711463300001,-87.685505775600006,1,1,Canvass,1,779.815600000000020,467.860200000000020,251.576799999999990
